Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.42.0.67-10.42.0.64-8805-8805-17,10.42.0.67,8805,10.42.0.64,8805,17,07/05/2025 03:23:03 PM,110032853,22,22,352.0,352.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.398089123436615,0.39988057021478846,2558903.558139535,4703148.483863059,1.1004529E7,57.0,1.10032853E8,5239659.666666666,5630507.068722606,1.1004529E7,369.0,1.10032348E8,5239635.619047619,5630955.462443185,1.1005025E7,84.0,0,0,0,0,176,176,0.19994028510739423,0.19994028510739423,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.363636363636363,16.0,16.0,0,0,0,64,4,113915,2,35,2,35,0,0,21,8,539.8,88.74908450232036,700.0,369.0,1.1002667299999999E7,1420.0908460771047,1.1004529E7,1.1001007E7,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,07/05/2025 03:23:30 PM,98815966,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.07083875494371021,1.6469327666666668E7,1.1473395544019628E7,3.2767878E7,47.0,9.8815966E7,1.6469327666666668E7,1.1473395544019628E7,3.2767878E7,47.0,0,0,0,0,0,0,0,0,0,0,0,0.07083875494371021,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.97631838E7,9120161.453268232,3.2767878E7,1.0751917E7,NeedManualLabel
10.42.0.64-185.125.190.81-36194-80-6,10.42.0.64,36194,185.125.190.81,80,6,07/05/2025 03:25:53 PM,17166776,2600,4283,2422.0,8497379.0,1024.0,0.0,0.931538461538461,22.999036514324008,4044.0,0.0,1983.9782862479508,677.8913057181039,495130.8853799922,400.94890269436735,2494.4458006393534,9850.976204592364,503893.0,1.0,1.7047552E7,6559.273566756443,16129.042175189074,508990.0,14.0,1.7091902E7,3991.569827183548,12677.678216565126,503893.0,1.0,0,0,0,0,98256,137088,151.45534607080563,249.49355662356172,0.0,4044.0,1234.718332364907,1100.2930505820507,1210644.7971591554,2,2,0,2978,6882,0,0,0,1.0,1234.89771901787,0.9315384615384615,1983.978286247957,0,0,0,8499801,4285,502813,0,0,0,0,65280,5,7,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.45.0.43-185.125.190.81-36194-80-6,10.45.0.43,36194,185.125.190.81,80,6,07/05/2025 03:25:53 PM,17167011,2661,5566,2366.0,7447283.0,1016.0,0.0,0.8891394212701992,22.41612852599025,1340.0,0.0,1337.995508444123,49.1516363723452,433951.43161497364,479.233105867993,2086.9208606856323,9095.147910672968,503201.0,-1.0,1.7047572E7,6408.861654135341,15787.804174624649,504653.0,9.0,1.709191E7,3071.322551662176,11344.493086817061,508885.0,11.0,0,0,0,0,83196,178108,155.0065995763619,324.2265062916311,0.0,1340.0,905.4021633446783,627.0013278744889,393130.66515637236,2,2,0,2597,8226,0,0,0,2.0,905.5122158745594,0.8891394212701992,1337.995508444125,0,0,0,7449649,5568,440686,0,0,0,0,65280,5,7,26,0,0,0,0,0,0,0,0,NeedManualLabel
10.42.0.64-91.189.91.83-57510-80-6,10.42.0.64,57510,91.189.91.83,80,6,07/05/2025 03:25:53 PM,17196505,1998,3590,1248.0,7305032.0,774.0,0.0,0.6246246246246265,18.875716496178363,5392.0,0.0,2034.8278551532012,883.0286400579417,424870.0535370414,324.94974996372815,3077.9497046715637,47771.65012647249,3501345.0,1.0,1.7046314E7,8535.960941412115,79902.27126290854,3507071.0,13.0,1.7055979E7,4752.292839230983,62161.75731550855,3651536.0,1.0,0,0,0,0,92524,114888,116.18639950385268,208.76335045987545,0.0,5392.0,1307.2606906423362,1204.8924665597315,1451765.8559723934,2,2,0,2093,5587,0,0,0,1.0,1307.494631352899,0.6246246246246246,2034.8278551532032,0,0,0,7306280,3590,545119,1998,1248,3590,7305032,65280,5,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
10.45.0.43-91.189.91.83-57510-80-6,10.45.0.43,57510,91.189.91.83,80,6,07/05/2025 03:25:53 PM,17196721,2104,4575,1224.0,6124004.0,766.0,0.0,0.5817490494296564,18.13732079687562,1340.0,0.0,1338.5801092896195,41.255531594884395,356185.8100739088,388.3879955952068,2575.1304282719316,43723.61995882361,3501130.0,9.0,1.704631E7,8105.710889205891,77816.92436737171,3506975.0,9.0,1.705592E7,3728.8850021862754,55134.759489118296,3651541.0,12.0,0,0,0,0,81994,146388,122.3489059338696,266.0390896613372,0.0,1340.0,916.9502994011968,622.6519419863082,387695.440859321,2,2,0,1742,6678,0,0,0,2.0,917.0875879622698,0.5817490494296578,1338.5801092896174,0,0,0,6125228,4575,456995,2104,1224,4575,6124004,65280,5,3,26,0,0,0,0,0,0,0,0,NeedManualLabel
10.42.0.67-10.42.0.64-8805-8805-17,10.42.0.67,8805,10.42.0.64,8805,17,07/05/2025 03:25:04 PM,110033368,22,22,352.0,352.0,16.0,16.0,16.0,0.0,16.0,16.0,16.0,0.0,6.3980591778304925,0.3998786986144058,2558915.5348837213,4703138.230005529,1.1005161E7,30.0,1.10033368E8,5239684.190476189,5630544.033125081,1.1005161E7,30.0,1.10032743E8,5239654.428571428,5630906.493640901,1.1005715E7,102.0,0,0,0,0,176,176,0.1999393493072029,0.1999393493072029,16.0,16.0,16.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,16.363636363636363,16.0,16.0,0,0,0,64,4,104142,2,35,2,35,0,0,21,8,619.0,166.71399328057484,856.0,352.0,1.10026608E7,1909.2888612139436,1.1005161E7,1.1000032E7,NeedManualLabel
10.42.0.64-10.43.0.10-51419-53-17,10.42.0.64,51419,10.43.0.10,53,17,07/05/2025 03:25:53 PM,40051,1,1,48.0,135.0,48.0,48.0,48.0,0.0,135.0,135.0,135.0,0.0,4569.174302763976,49.936331177748364,40051.0,0.0,40051.0,40051.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,24.968165588874182,24.968165588874182,48.0,135.0,77.0,50.22947341949744,2523.0,0,0,0,0,0,0,0,0,1.0,115.5,48.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.45.0.43-10.43.0.10-56815-53-17,10.45.0.43,56815,10.43.0.10,53,17,07/05/2025 03:25:53 PM,503,2,2,86.0,272.0,43.0,43.0,43.0,0.0,136.0,136.0,136.0,0.0,711729.6222664017,7952.286282306163,167.66666666666666,221.30823150830457,423.0,31.0,31.0,31.0,0.0,31.0,31.0,49.0,49.0,0.0,49.0,49.0,0,0,0,0,16,16,3976.1431411530816,3976.1431411530816,43.0,136.0,80.2,50.93819784798045,2594.7,0,0,0,0,0,0,0,0,1.0,100.25,43.0,136.0,0,0,0,358,4,711729,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
10.45.0.43-10.43.0.10-52543-53-17,10.45.0.43,52543,10.43.0.10,53,17,07/05/2025 03:25:53 PM,125525,2,2,92.0,244.0,46.0,46.0,46.0,0.0,122.0,122.0,122.0,0.0,2676.7576180043816,31.86616211909978,41841.66666666667,67604.61428285301,119837.0,28.0,28.0,28.0,0.0,28.0,28.0,5660.0,5660.0,0.0,5660.0,5660.0,0,0,0,0,16,16,15.93308105954989,15.93308105954989,46.0,122.0,76.4,41.626914370392626,1732.8000000000002,0,0,0,0,0,0,0,0,1.0,95.5,46.0,122.0,0,0,0,336,4,2676,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
